Current Position Requirments,Current Position,Alternative 1,Alternative 2
"Usia maksimal 35 tahun Memiliki pengalaman kerja Cook Pastry di Resto/Hotel Pendidikan minimal SMA / SMK Perhotelan / Pariwisata atau sederajat Memiliki pengetahuan dan mengerti membuat Pastry food Bersedia ditempatkan berdasarkan kebutuhan Perusahaan Bersedia bekerja dengan sistem shift Memiliki passion dibidang F&B Japanese, disiplin yang kuat serta mau belajar Mengerti dan memahami standarisasi penggunaan alat-alat pembuatan Pastry (wajib)",Cook Pastry,Consultant as Sustainable Palm Oil Policy Specialist,Sales Toyota
"Umur Max 25 tahun Mempunyai SIM dan kendaraan pribadi (minimal sepeda motor) Tidak memiliki catatan kriminal  Pengalaman Bekerja keras Dapat bekerja dalam target Mempunyai disiplin dan loyalitas yang tinggi  Benefit Gaji Pokok dan insentif penjualan Training dan jenjang karir sesuai pencapaian target Fasilitas kesehatan, tunjangan makan dan transport sesuai dengan jabatan Trip dan penghasilan tambahan dari kontes",Sales Toyota,Sales MD ,Cook Helper
Mencari orang untuk membantu pemindahan Fasilitas Kesehatan (Faskes) mereka ke Fasilitas Kesehatan Siloam Clinic menggunakan Mobile JKN Sales: 1 year (Preferred),Sales Advisor,DRIVER JAKARTA,Consultant as Communications Officer for Food System
"Pengalaman min. 1 tahun sebagai Kitchen Crew atau Cook di Restoran masakan Japanese Western Memiliki komunikasi yang baik, dapat bekerja secara team/individu, inisiatif, teliti, dan disiplin Pendidikan minimal SMA/SMK atau setara Usia Maksimal 30 tahun Penempatan Jakarta Barat Pengalaman: Koki, Kitchen krew, CDP: 1 tahun (Diwajibkan)","Cook, Kitchen",Consultant as Communications Officer for Food System,CSA  BEKASI
"Mampu berkomunikasi dengan Baik. Teliti dan memperhatikan hal-hal yang bersifat detil. Mengerti cara mengoperasikan Komputer, Microsoft Office. Jujur dan Mau bekerja keras di dalam office / di luar office. Mempunyai jiwa pemasaran. Lebih diutamakan yang sudah cukup berpengalaman. Mampu berbahasa Inggris mendapatkan nilai lebih. Pria/Wanita Minimal pengalaman 2 tahun di bidang Money Changer Minimal SMA/Sederajat Bertanggungjawab Mampu Bekerja secara individu maupun tim Domisili di sekitar Jakarta Pusat",Staff Marketing Money Changer,Sales Toyota,Sales MD 
"Wanita usia 18 s/d 25 tahun, mampu kerja di bawah tekanan, pengalaman/non pengalaman, pendidikan minimal SMA/SMK, siap di tempatkan di cabang mana saja, bersedia di kontrak 2 tahun, bekerja full ",Beautician,Sales Executive,Consultant as Communications Officer for Food System
"Strong foundation in computer science and problem-solving abilities At least 1-2 years of experience in software development (backend or frontend) products Recent graduates with relevant internship experience are encourged to apply Familiar with the stack listed below is preferred Bachelor's or Master's Degree in Computer Science, Computer Engineering, or related field from reputable university ",Software Engineer ,Halal Supervisor ,Sales Area/Business Consultant
Minimal pendidikan SMA/SMK/D3  Memiliki pengalaman field officer/Sales  Mampu bekerja dengan target  Memilikimu HP Android yang bisa digunakan dengan baik ,QRIS Canvasser ,Operator,SALES PROMOTOR
"Minimal Pendidikan SMA atau sederajat Memiliki keahlian dalam bernegosiasi dan pemasaran Cakap dalam berkomunikasi Memiliki pengalaman di bidang sales lapangan minimal 1 tahun. Memahami cara analisa data penjualan Memiliki kendaraan motor dan powerbank Bersedia ditempatkan di JADETABEK Diutamakan yang berdomisili di Jakarta Timur, Jakarta Barat, Bekasi Utara & Bekasi Kota",Sales Acquisition,Sales Toyota,Cook Helper Pastry
Pria Usia Maksimal 40 Tahun  Pendidikan Minimal SMA/SMK  Mempunyai Kemampuan maintenance ringan ,Kernet,Sales Executive,Senior Cook Indonesian Food  
"Pendidikan min SMA / SMK / Paket C sederajat (Tidak Sedang Kuliah ) Berpengalaman / Fresh Graduate Ramah, Komunikatif & Proaktif Memiliki Sepeda Motor, SIM C & STNK Sepeda Motor yang masih Aktif Mengenal & Menguasai Wilayah Kota / Kabupaten di sekitar tempat tinggalnya dengan baik Benefit (Keuntungan yang bisa didapatkan) : Bisa bekerja sesuai domisili Penghasilan rata-rata diatas UMR (Basic, Insentive, Bonus, Uang Bensin, Pulsa) Asuransi Kesehatan dari Asuransi Swasta Jenjang Karir yang sudah jelas Tidak perlu memiliki pengalaman sebelumnya, Lulusan SMA baru juga bisa melamar SMA/SMU/SMK (Preferred) Kolektor (Penagihan): 1 year (Preferred)",Field Agent Home Credit Indonesia  ,Crew Restoran ,Driver
Usia 25 35 tahun Pria/ Wanita Bisa menawarkan pinjaman dana tunai dengan jaminan BPKB mobil/ motor BY PHONE Terbiasa bekerja dengan target Terbiasa kerja dibawah tekanan Mempunyai HANDPHONE ANDROID (WAJIB) Sudah vaksin booster (WAJIB) Berpengalaman dalam TELESALES/ TELEMARKETING  1 tahun (Diwajibkan) Siap ditempatkan di Kemayoran (Jakarta Pusat),TELESALES OFFICER  / Telemarketing,Crew Outlet ,Sales Toyota
SMA/SMU/SMK (Preferred) Graphic Design: 1 year (Required),Graphic Design,DRIVER JAKARTA,Consultant as Communications Officer for Food System
wanita Minimal SMA/SMK SEDERAJAT Bersedia berkerja dengan Target Mampu berkerja dengan Team/individual Mampu berkerja di bawah tekanan,ADMIN,Sales Toyota,Sales Executive
Usia maksimal 45 tahun  Pendidikan: SMA / D3 / Sarjana S1  Pengalaman kerja minimal 1 tahun bidang Marketing  Mempunyai SIM A/C dan kendaraan bermotor  Mampu bekerja dengan tenggat waktu & berorientasi pada target  Bisa bekerja dalam teamwork  Minimal sudah vaksin1 & 2 ,Marketing Sales ,Host Live Streaming,Data Analyst
"Pendidikan terakhir minimal SMA/SMK Memiliki kendaraan sendiri (motor) & SIM C Memiliki pengalaman sebagai Sales Modern Market dan/atau HORECA minimal 2 tahun di perusahaan FMCG (Fast Moving Consumer Goods) Memiliki kemampuan presentasi yang baik serta motivasi yang tinggi Good looking, sopan, jujur, tanggung jawab, tekun, teliti, serta target oriented. Dapat bekerja sama dengan baik dalam tim maupun individu, proaktif dan komunikatif. Dapat melakukan Follow Up penjualan terhadap customer dengan baik Dapat join secepatnya",Sales Representative,Sales MD ,Posisi kasir untuk Jakarta
Memliki pengalaman min.1 tahun  Memiliki komunikasi yang baik  Pendidikan min. SMA/K/MA ,Field Collection,Sales Toyota,SALES MARKETING EXECUTIVE 
"Wanita, Pendidikan minimal SMA/SMK. Maksimal usia 25 tahun. Memiliki pengalaman kerja minimal 1 tahun sebagai SPB/SPG Promotion Memiliki pengalaman di FMCG (Fast Moving Consumer Goods) merupakan nilai plus. Pengalaman kerja di bidang produk Frozen Food dan Event Promotion lebih diminati. Menguasai wilayah sesuai penempatan. Lebih diutamakan memiliki kendaraan pribadi (Sepeda Motor). Ability to commute/relocate: Jakarta: Reliably commute or planning to relocate before starting work (Required)",SPG ,Anggota Security,Staff Logistik 
"Final year college student/fresh graduate are welcome Majoring in Marketing Communication/Design Communication Visual Understand Social Media design experience Advanced in using design software (Adobe Illustrator, Adobe Photoshop, etc.)     ",Apprenticeship ,Halal Supervisor ,Sales Area/Business Consultant
"Pria & wanita Usia 18 s/d 35 tahun Pendidikan min. SMP, SMA/K Berpenampilan menarik Sehat jasmani & rohani Siap bekerja 2 shift ",Staff Gudang,Sales Executive,Host Live Streaming
"Pendidikan minimal SMA sederajat Memiliki Pengalaman Kerja minimal 3 tahun di bidang digital marketing Berintegritas, fast learner, dan sehat jasmani dan rohani Dapat bekerja secara individu maupun tim Memahami pemasaran dengan internet marketing (SEO, SEM, dan Digital Ads Platform lainnya) Memiliki kreativitas tinggi dengan kemampuan mengidentifikasi target dan merancang kampanye digital Memiliki ketertarikan dibidang Marketing dan berorientasi pada target Penempatan di kawasan JGC, Cakung, Jakarta Timur",Digital Marketing,Marketing.,Senior Cook Indonesian Food  
